name,activity_type,price,length,best_time,drive_min_from_dtla,visited,latitude,longitude,website,geocode_query,notes
Watercolor Wednesdays Topanga,Activity,$$,1-3h,Afternoon,,no,34.067587,-118.595672,,"Topanga, CA","ESTIMATE | REVIEW - event | matched: Topanga, Los Angeles County, California, 90290, Un"
Topanga Canyon Hike (Tuna Canyon),Hike,Free,1-3h,Morning,30,no,,,,"Tuna Canyon trailhead, Topanga CA",ESTIMATE | GEOCODE FAILED
Silver Lake Hike,Hike,Free,1-3h,Morning,8,no,34.097406,-118.264044,,"Silver Lake Reservoir, Los Angeles","ESTIMATE | REVIEW - which trail | matched: Silver Lake Reservoir, Echo Park, Los Angeles, Los"
Rose Bowl Trail,Hike,Free,1-3h,Morning,18,no,,,,"Rose Bowl Loop, Pasadena CA",ESTIMATE | GEOCODE FAILED
Museum of Jurassic Technology,Museum,$,1-3h,Afternoon,16,no,34.025875,-118.395086,,"Museum of Jurassic Technology, Culver City CA","ESTIMATE | matched: Museum of Jurassic Technology, 9341, Venice Boulev"
Magic Castle,Activity,$$$,1-3h,Evening,14,no,,,,"The Magic Castle, Los Angeles",ESTIMATE | members/guest only | GEOCODE FAILED
Palos Verdes Trail,Hike,Free,1-3h,Morning,40,no,33.790226,-118.403291,,"Palos Verdes trail, CA",ESTIMATE | REVIEW - which trail | matched: Apsley Trail. aka Palos Verdes Loop Trail Segments
Arboretum in Arcadia,Outdoors,$,Half-day,Morning,22,no,34.143258,-118.052688,,"Los Angeles County Arboretum, Arcadia CA","ESTIMATE | matched: Los Angeles County Arboretum, 301, Arcadia, Los An"
Mystic Museum,Museum,$,1-3h,Afternoon,18,no,34.169327,-118.342028,,"Mystic Museum, Burbank CA","ESTIMATE | matched: Mystic Museum, 3204, West Magnolia Boulevard, Burb"
Museum of Motion Pictures,Museum,$$,Half-day,Afternoon,12,no,34.063818,-118.360835,,"Academy Museum of Motion Pictures, Los Angeles","ESTIMATE | matched: Academy Museum of Motion Pictures, 6067, Wilshire"
Huntington Library,Museum,$$,Half-day,Morning,20,no,34.128223,-118.114619,,"The Huntington, San Marino CA","ESTIMATE | matched: The Huntington Library, Art Collections, and Botan"
Arlington Garden,Outdoors,Free,1-3h,Morning,20,no,34.128711,-118.155603,,"Arlington Garden, Pasadena CA","ESTIMATE | matched: Arlington Garden, 275, Pasadena Council District 6"
Auragami Studio,Activity,$$,<1h,Afternoon,12,no,,,,"Auragami, Los Angeles",ESTIMATE | aura photography? | GEOCODE FAILED
Foraging/Cooking Class Topanga,Activity,$$$,Half-day,Morning,30,no,34.067587,-118.595672,,Topanga CA,"ESTIMATE | REVIEW - class | matched: Topanga, Los Angeles County, California, 90290, Un"
Magic Lamp,Restaurant,$$$,1-3h,Evening,50,no,,,,"Magic Lamp Inn, Rancho Cucamonga CA",ESTIMATE | NOT LA - Rancho Cucamonga | GEOCODE FAILED
Sycamore Inn,Restaurant,$$$$,1-3h,Evening,50,no,34.105653,-117.623440,,"Sycamore Inn, Rancho Cucamonga CA","ESTIMATE | NOT LA - Rancho Cucamonga | matched: Sycamore Inn, San Bernardino Road, Red Hill, Ranch"
Shakespeare in Griffith Park,Activity,Free,Half-day,Evening,16,no,,,,"Griffith Park Free Shakespeare, Los Angeles",ESTIMATE | GEOCODE FAILED
California Plaza,Activity,Free,1-3h,Evening,6,no,34.051866,-118.251339,,"California Plaza, Los Angeles","ESTIMATE | Grand Performances | matched: California Plaza, Bunker Hill, Downtown, Los Angel"
KCRW Summer Nights,Activity,Free,1-3h,Evening,,no,34.053691,-118.242766,,Los Angeles,"ESTIMATE | REVIEW - multi-venue series | matched: Los Angeles, Los Angeles County, California, Unite"
Getty Center,Museum,Free,Half-day,Afternoon,22,no,34.086998,-118.475696,,Getty Center Los Angeles CA,"ESTIMATE | free entry paid parking | matched: Getty Center Tram, Getty Center Drive, Los Angeles"
Lake Balboa,Outdoors,Free,1-3h,Morning,24,no,34.210321,-118.483485,,"Lake Balboa, Van Nuys CA","ESTIMATE | matched: LAX Flyaway Van Nuys, Lake Balboa Neighborhood Cou"
Lake Castaic,Outdoors,Free,Half-day,Morning,45,no,34.540618,-118.587025,,"Castaic Lake, CA","ESTIMATE | ~45min | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Castaic Lake, Los Angeles County, California, United States]"
Public Estrellas,Activity,,,,,no,,,,,"REVIEW - unclear what this is, no estimates given | NO QUERY"
Sunday's Best Vintage,Shopping,$$,<1h,Afternoon,10,no,34.076712,-118.256814,,"Sunday's Best Vintage, Los Angeles","ESTIMATE | matched: Sunday's Best Vintage, 1557, West Sunset Boulevard"
Inn of the Seventh Ray,Restaurant,$$$$,1-3h,Evening,30,no,34.090299,-118.604668,,"Inn of the Seventh Ray, Topanga CA","ESTIMATE | matched: Inn of the Seventh Ray, 128, Old Topanga Canyon Ro"
Lake Shrine,Outdoors,Free,1-3h,Morning,28,no,34.042685,-118.552475,,"Self-Realization Fellowship Lake Shrine, Pacific Palisades CA","ESTIMATE | matched: Self-Realization Fellowship Lake Shrine, 17190, We"
San Gabriel River,Outdoors,Free,Half-day,Morning,30,no,34.090518,-117.995640,,"San Gabriel River, CA","ESTIMATE | REVIEW - pick a spot | matched: San Gabriel River, Irwindale, Los Angeles County,"
Ojai Pools,Day trip,Free,Full-day,Anytime,100,no,,,,"Ojai pools, Ojai CA",ESTIMATE | NOT LA - up the 33 | GEOCODE FAILED
Bibim Paws,Restaurant,$$,1-3h,Lunch,14,no,,,,"Bibim Paws, Los Angeles",ESTIMATE | GEOCODE FAILED
Bonita Falls,Hike,Free,Half-day,Morning,60,no,,,,"Bonita Falls, Lytle Creek CA",ESTIMATE | NOT LA - ~1hr | GEOCODE FAILED
Santa Paula Punch Bowls,Hike,Free,Full-day,Morning,75,no,,,,"Santa Paula Punch Bowls, Santa Paula CA",ESTIMATE | NOT LA - Ventura Cty | GEOCODE FAILED
Hummingbird Trail,Hike,Free,1-3h,Morning,45,no,34.277027,-118.652006,,"Hummingbird Trail, Simi Valley CA","ESTIMATE | matched: Hummingbird Trail, Simi Valley, Ventura County, Ca"
Cave of Munits,Hike,Free,1-3h,Morning,30,no,,,,"Cave of Munits, West Hills, Los Angeles",ESTIMATE | GEOCODE FAILED
Hidden Treasures Vintage,Shopping,$$,<1h,Afternoon,35,no,34.089094,-118.602975,,"Hidden Treasures, Topanga CA","ESTIMATE | matched: Hidden Treasures, 154, South Topanga Canyon Boulev"
Escondido Falls,Hike,Free,Half-day,Morning,45,no,34.035487,-118.777075,,"Escondido Falls, Malibu CA","ESTIMATE | MALIBU not San Diego | matched: Escondido Canyon Trail (Escondido Falls), Malibu,"
El Escorpion Loop Trail,Hike,Free,1-3h,Morning,30,no,34.196699,-118.663796,,"El Escorpion Park, West Hills CA","ESTIMATE | matched: El Escorpion Park, West Hills, Los Angeles, Los An"
Santiago Oaks Regional Park,Outdoors,$,Half-day,Morning,50,no,33.817150,-117.760841,,"Santiago Oaks Regional Park, Orange CA","ESTIMATE | NOT LA - Orange Cty | matched: Santiago Oaks Regional Park, Orange, Orange County"
Lake Hollywood,Outdoors,Free,1-3h,Morning,16,no,,,,"Lake Hollywood Reservoir, Los Angeles",ESTIMATE | GEOCODE FAILED
Crimes of Passion Museum,Museum,$,1-3h,Afternoon,14,no,,,,"Crimes of Passion museum, Los Angeles",ESTIMATE | name uncertain | GEOCODE FAILED
Data Land Art Exhibit,Activity,$$$,1-3h,Evening,6,no,,,,"DATALAND, Los Angeles",ESTIMATE | Refik Anadol DTLA | GEOCODE FAILED
LACMA Jazz Night,Activity,$$,1-3h,Evening,12,no,34.063736,-118.358938,,"LACMA, Los Angeles","ESTIMATE | Friday jazz | matched: Los Angeles County Museum of Art, 5905, Wilshire B"
Santa Barbara,Day trip,$$,Full-day,Anytime,120,no,34.422132,-119.702667,,"Santa Barbara, CA","ESTIMATE | NOT LA - ~2hr | OUTSIDE LA BOUNDS (ok for day trips, verify others) [matched: Santa Barbara, Santa Barbara County, California, United Stat]"
MOCA,Museum,$,1-3h,Afternoon,6,no,,,,"MOCA Grand Avenue, Los Angeles",ESTIMATE | Museum of Contemporary Art | GEOCODE FAILED
